428,Bukiet z jarzyn wiosennych mrożony,30,2.8,0.3,7.5
429,Bukiet z jarzyn z makaronem mrożony,132,5.3,1.2,27.8
430,Bukiet z jarzyn z ryżem mrożony,66,2.4,0.3,15.6
431,Kapuśniak mrożony,36,1.4,0.2,9.0
432,Marchew z groszkiem mrożona,39,2.6,0.3,10.4
433,Paprykarz mrożony,19,1.1,0.3,4.4
434,Sałatka jarzynowa z kukurydzą mrożona,63,3.4,0.6,14.8
435,Sałatka meksykańska mrożona,45,2.5,0.5,10.8
436,Sałata skandynawska mrożona,28,1.9,0.2,6.9
437,Włoszczyzna krojona w paski mrożona,25,1.4,0.3,7.9
438,Zupa jesienna mrożona,27,1.6,0.2,7.2
439,Zupa kalafiorowa mrożona,22,2.0,0.2,5.5
440,Zupa włoska mrożona,27,1.8,0.3,6.9
441,Zupa ziemniaczana mrożona,41,1.5,0.2,11.0
442,Zupa zimowa mrożona,25,2.1,0.3,6.9
443,"Fasola cięta konserwowa bez zalewy",16,1.5,0.2,4.5
444,"Fasolka flageolet konserwowa",61,6.3,0.2,15.0
445,"Groszek zielony konserwowy bez zalewy",63,4.9,0.2,15.8
446,Kapusta kwaszona,11,1.1,0.2,3.4
447,Koncentrat pomidorowy 30%,92,5.6,1.5,16.7
448,Mąka sojowa pełnotłusta,424,45.0,23.5,20.1
449,Ogórek kwaszony,11,1.0,0.1,1.9
450,Papryka czerwona konserwowa,30,0.8,1.5,5.0
451,Skrobia ziemniaczana,342,0.6,0.1,83.9
452,Sos keczup,93,1.8,1.0,22.2
453,Szparagi konserwowe,19,2.1,0.7,2.5
454,Kukurydza konserwowa,103,2.9,1.2,23.6
455,"Pieczarka uprawna świeża",17,2.7,0.4,2.6
456,Agrest,41,0.8,0.2,11.8
457,Ananas,54,0.4,0.2,13.6
458,Arbuz,36,0.6,0.1,8.4
459,Awokado,160,2.0,15.3,7.4
460,Banan,95,1.0,0.3,23.5
461,Brzoskwinia,46,1.0,0.2,11.9
462,Cytryna,36,0.8,0.3,9.5
463,Czarne jagody,45,0.8,0.6,12.2
464,Czereśnie,61,1.0,0.3,14.6
465,Grejpfrut,36,0.6,0.2,9.8
466,Gruszka,54,0.6,0.2,14.4
467,Gujawa,38,0.8,0.6,11.9
468,Jabłko,46,0.4,0.4,12.1
469,Kiwi,56,0.9,0.5,13.9
470,Maliny,29,1.3,0.3,12.0
471,Mandarynki,42,0.6,0.2,11.2
472,Mango,67,0.5,0.3,17.0
473,Melon,36,0.9,0.3,8.4
474,Morele,47,0.9,0.2,11.9
475,Nektarynka,49,0.9,0.2,11.8
476,Papaja,41,0.6,0.1,11.1
477,Pomarańcza,44,0.9,0.2,11.3
478,Porzeczki białe,33,1.0,0.2,13.1
479,Porzeczki czarne,36,1.3,0.2,14.9
480,Porzeczki czerwone,31,1.1,0.2,13.8
481,Poziomki,33,0.8,0.5,8.3
482,Śliwki,45,0.6,0.2,11.7
483,Truskawki,28,0.7,0.4,7.2
484,Winogrona,69,0.5,0.2,17.6
485,Wiśnie,47,0.9,0.4,10.9
486,Czarne jagody mrożone,45,0.8,0.6,12.2
487,Maliny mrożone,29,1.3,0.3,12.0
488,Porzeczki czarne mrożone,36,1.3,0.2,14.9
489,Śliwki bez pestek mrożone,45,0.6,0.2,11.7
490,Truskawki mrożone,28,0.7,0.4,7.2
491,Wiśnie bez pestkek mrożone,47,0.9,0.4,10.9
492,Mieszanka owocowa mrożona,40,0.9,0.3,12.1
493,Banany suszone,360,3.8,1.1,88.8
494,Daktyle suszone,277,2.0,0.4,74.0
495,Figi suszone,290,3.6,1.2,78.0
496,Jabłka suszone,238,2.1,2.1,62.3
497,Morele suszone,284,5.4,1.2,72.2
